,date,dayNum,dayOfWeek,yearFreq,seasonal,weekly,forecast,low80,low95,high80,high95
127,2015-09-10,2616,Thursday,0.6904109589041101,1.0038100483475099,1.0904853671121402,640205041.2832524,637392970.615343,635909353.8109716,643029518.3343576,644529746.9335859
128,2015-09-11,2617,Friday,0.6931506849315071,1.00643317887481,1.03914550129443,640040410.8153973,637174383.2251638,635662398.6102163,642919329.8751563,644448575.8043654
129,2015-09-12,2618,Saturday,0.6958904109589039,1.0083062745537,0.799415530784309,639875552.4658066,636954967.4702809,635414303.1832172,642809529.0151305,644368124.2179374
130,2015-09-13,2619,Sunday,0.698630136986301,1.00971705047663,0.7898319119310891,639710469.0177723,636734724.3972865,635165067.7934285,642700120.6166462,644288398.2782764
131,2015-09-14,2620,Monday,0.7013698630136989,1.0109927256160698,1.1138740043047701,639545163.2478496,636513655.0607603,634914692.7220463,642591109.5256414,644209404.0699335
132,2015-09-15,2621,Tuesday,0.704109589041096,1.01195065910191,1.11328518593284,639379637.9256798,636291760.5230304,634663178.2677201,642482500.5716432,644131147.6581706
133,2015-09-16,2622,Wednesday,0.7068493150684929,1.01236220001911,1.1045911990694701,639213895.8138901,636069041.8538896,634410524.7462614,642374298.5677803,644053635.0890325
134,2015-09-17,2623,Thursday,0.7095890410958899,1.0124731380044598,1.09058714118316,639047939.6679302,635845500.1303475,634156732.4902999,642266508.3107632,643976872.3894731
135,2015-09-18,2624,Friday,0.712328767123288,1.01252984469108,1.0392333073333102,638881772.2359459,635621136.4363844,633901801.8490286,642159134.5809397,643900865.567431
136,2015-09-19,2625,Saturday,0.7150684931506851,1.01277884204677,0.7992462027661759,638715396.2586199,635395951.8627222,633645733.1878856,642052182.1422426,643825620.6119576
137,2015-09-20,2626,Sunday,0.717808219178082,1.01339915034963,0.7895566513400459,638548814.4690685,635169947.5065405,633388526.8882675,641945655.7422484,643751143.4932956
138,2015-09-21,2627,Monday,0.7205479452054789,1.01419733911787,1.1139898469023302,638382029.5926813,634943124.471269,633130183.3472542,641839560.112146,643677440.1629714
139,2015-09-22,2628,Tuesday,0.7232876712328771,1.01489779139421,1.11337827271966,638215044.3470033,634715483.86635,632870702.9773177,641733899.9667687,643604516.5539035
140,2015-09-23,2629,Wednesday,0.726027397260274,1.01547212763759,1.10468752654085,638047861.4415878,634487026.8069828,632610086.2060571,641628680.0045651,643532378.5804862
141,2015-09-24,2630,Thursday,0.7287671232876709,1.01620883617743,1.09068892475267,637880483.577893,634257754.4139124,632348333.4759028,641523904.9076461,643461032.1386625
142,2015-09-25,2631,Friday,0.7315068493150679,1.01668904044126,1.03932112079165,637712913.4491204,634027667.8131925,632085445.2438779,641419579.3417534,643390483.1060604
143,2015-09-26,2632,Saturday,0.734246575342466,1.01674337882732,0.7990769106142191,637545153.7401154,633796768.1359489,631821421.9812932,641315707.9562687,643320737.3420407
144,2015-09-27,2633,Sunday,0.7369863013698629,1.0165795306349599,0.7892814866787731,637377207.1272119,633565056.5181962,631556264.1735221,641212295.3842468,643251800.6878022
145,2015-09-28,2634,Monday,0.7397260273972601,1.01630569714424,1.11410570154749,637209076.278137,633332534.1005591,631289972.3197234,641109346.2423725,643183678.9664601
146,2015-09-29,2635,Tuesday,0.742465753424657,1.01603003373662,1.11347136728989,637040763.8518755,633099202.0281193,631022546.9325811,641006865.131001,643116377.9831547
147,2015-09-30,2636,Wednesday,0.7452054794520551,1.0158605904053102,1.1047838624126,636872272.4985483,632865061.4501454,630753988.5380555,640904856.6341392,643049903.5250919
